name;classes;school;cast_time;range;duration;material_cost;verbal;somatic;date
Acid Splash;Artificer, Sorcerer, Wizard;Conjuration;Action;18.29;Instantaneous;;1;1;27/05/14
Aid;Artificer, Bard, Cleric, Paladin, Ranger;Abjuration;Action;9.15;8 hours;a tiny strip of white cloth;1;1;27/05/14
Alarm;Artificer, Ranger, Wizard;Abjuration;Action;9.15;8 hours;a tiny bell and a piece of fine silver wire;1;1;27/05/14
Alter Self;Artificer, Sorcerer, Wizard;Transmutation;Action;0.00;Concentration, up to 1 hour;;1;1;27/05/14
Animal Friendship;Bard, Druid, Ranger;Enchantment;Action;9.15;24 hours;a cup of water;1;1;27/05/14
Animal Messenger;Bard, Druid, Ranger;Enchantment;Action;9.15;24 hours;a morsel of food;1;1;27/05/14
Animal Shapes;Druid;Transmutation;Action;9.15;Concentration, up to 24 hours;;1;1;27/05/14
Animate Dead;Cleric, Wizard;Necromancy;1 Minute;3.05;Instantaneous;a drop of blood, a piece of flesh, and a pinch of bone dust;1;1;27/05/14
Animate Objects;Artificer, Bard, Sorcerer, Wizard;Transmutation;Action;36.58;Concentration, up to 1 minute;;1;1;27/05/14
Antilife Shell;Druid;Abjuration;Action;0.00;Concentration, up to 1 hour;;1;1;27/05/14
Antimagic Field;Cleric, Wizard;Abjuration;Action;0.00;Concentration, up to 1 hour;a pinch of powdered iron or iron filings;1;1;27/05/14
Antipathy/Sympathy;Bard, Druid, Wizard;Enchantment;1 Hour;18.29;10 days;either a lump of alum soaked in vinegar for the antipathy effect or a drop of honey for the sympathy effect;1;1;27/05/14
Arcane Eye;Artificer, Wizard;Divination;Action;9.15;Concentration, up to 1 hour;a bit of bat fur;1;1;27/05/14
Arcane Gate;Sorcerer, Warlock, Wizard;Conjuration;Action;152.40;Concentration, up to 10 minutes;;1;1;27/05/14
Arcane Lock;Artificer, Wizard;Abjuration;Action;0.00;Until dispelled;gold dust worth at least 25 gp, which the spell consumes;1;1;27/05/14
Armor of Agathys;Warlock;Abjuration;Action;0.00;1 hour;a morsel of food;1;1;27/05/14
Arms of Hadar;Warlock;Conjuration;Action;0.00;Instantaneous;;1;1;27/05/14
Astral Projection;Cleric, Warlock, Wizard;Evocation;1 Hour;3.05;Special;for each creature you affect with this spell, you must provide one jacinth worth at least 1,000 gp and one ornately carved bar of silver worth at least 100 gp, all of which the spell consumes;1;1;27/05/14
Augury;Cleric, Druid, Wizard;Divination;1 Minute;0.00;Instantaneous;specially marked sticks, bones, or similar tokens worth at least 25 gp;1;1;27/05/14
